Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"A Molecular Survey of Rickettsia felis in Fleas from Cats and Dogs in Sicily (Southern Italy).","/pubmed/25203839","Giudice E, Di Pietro S, Alaimo A, Blanda V, Lelli R, Francaviglia F, Caracappa S, Torina A.","PLoS One. 2014;9(9):e106820. doi: 10.1371/journal.pone.0106820.","PLoS One.  2014","PubMed","citation","PMID:25203839 | PMCID:PMC4159232","pubmed","25203839","create date:2014/09/10 | first author:Giudice E",
"Comparison of two techniques for ultrasound-guided axillary brachial plexus blockade in cats.","/pubmed/25193280","Ansón A, Laredo FG, Gil F, Soler M, Belda E, Ayala MD, Agut A.","J Feline Med Surg. 2014 Sep 5. doi:pii: 1098612X14548785. [Epub ahead of print]","J Feline Med Surg.  2014","PubMed","citation","PMID:25193280","pubmed","25193280","create date:2014/09/07 | first author:Ansón A",
"Risk factors for MRSA infection in companion animals: Results from a case-control study within Germany.","/pubmed/25130703","Vincze S, Brandenburg AG, Espelage W, Stamm I, Wieler LH, Kopp PA, Lübke-Becker A, Walther B.","Int J Med Microbiol. 2014 Jul 25. doi:pii: S1438-4221(14)00089-7.  10.1016/j.ijmm.2014.07.007. [Epub ahead of print]","Int J Med Microbiol.  2014","PubMed","citation","PMID:25130703","pubmed","25130703","create date:2014/08/19 | first author:Vincze S",
"Quantitation of maillard reaction products in commercially available pet foods.","/pubmed/25088431","van Rooijen C, Bosch G, van der Poel AF, Wierenga PA, Alexander L, Hendriks WH.","J Agric Food Chem. 2014 Sep 3;62(35):8883-91. doi: 10.1021/jf502064h. Epub 2014 Aug 20.","J Agric Food Chem.  2014","PubMed","citation","PMID:25088431","pubmed","25088431","create date:2014/08/05 | first author:van Rooijen C",
"Mammalian bite injuries to the hand and their management.","/pubmed/25067974","Jha S, Khan WS, Siddiqui NA.","Open Orthop J. 2014;8:194-8. doi: 10.2174/1874325001408010194.","Open Orthop J.  2014","PubMed","citation","PMID:25067974 | PMCID:PMC4110393","pubmed","25067974","create date:2014/07/30 | first author:Jha S",
"Of mice and men: olfactory neuroblastoma among animals and humans.","/pubmed/25041470","Lubojemska A, Borejko M, Czapiewski P, Dziadziuszko R, Biernat W.","Vet Comp Oncol. 2014 Jul 12. doi: 10.1111/vco.12102. [Epub ahead of print]","Vet Comp Oncol.  2014","PubMed","citation","PMID:25041470","pubmed","25041470","create date:2014/07/22 | first author:Lubojemska A",
"Introducing breathlessness as a significant animal welfare issue.","/pubmed/25004795","Beausoleil N, Mellor D.","N Z Vet J. 2014 Jul 8:1-22. [Epub ahead of print]","N Z Vet J.  2014","PubMed","citation","PMID:25004795","pubmed","25004795","create date:2014/07/10 | first author:Beausoleil N",
"Key determinants of dog and cat welfare: behaviour, breeding and household lifestyle.","/pubmed/25000794","Sonntag Q, Overall KL.","Rev Sci Tech. 2014 Apr;33(1):213-20.","Rev Sci Tech.  2014","PubMed","citation","PMID:25000794","pubmed","25000794","create date:2014/07/09 | first author:Sonntag Q",
"First report of Thelazia callipaeda in red foxes (Vulpes vulpes) from Portugal.","/pubmed/25000721","Sargo R, Loureiro F, Catarino AL, Valente J, Silva F, Cardoso L, Otranto D, Maia C.","J Zoo Wildl Med. 2014 Jun;45(2):458-60.","J Zoo Wildl Med.  2014","PubMed","citation","PMID:25000721","pubmed","25000721","create date:2014/07/09 | first author:Sargo R",
"Tramadol toxicity in a cat: case report and literature review of serotonin syndrome.","/pubmed/24966282","Indrawirawan Y, McAlees T.","J Feline Med Surg. 2014 Jun 25;16(7):572-578. [Epub ahead of print]","J Feline Med Surg.  2014","PubMed","citation","PMID:24966282","pubmed","24966282","create date:2014/06/27 | first author:Indrawirawan Y",
"Canine-assisted therapy in the inpatient setting.","/pubmed/24937523","Snipelisky D, Burton MC.","South Med J. 2014 Apr;107(4):265-73. doi: 10.1097/SMJ.0000000000000090. Review.","South Med J.  2014","PubMed","citation","PMID:24937523","pubmed","24937523","create date:2014/06/18 | first author:Snipelisky D",
"[Frequency of sensitization to animals in a tropical area].","/pubmed/24915620","Sánchez J, Diez S, Cardona R.","Rev Alerg Mex. 2014 Apr-Jun;61(2):81-9. Spanish. ","Rev Alerg Mex.  2014","PubMed","citation","PMID:24915620","pubmed","24915620","create date:2014/06/11 | first author:Sánchez J",
"Hepatitis E virus serosurvey among pet dogs and cats in several developed cities in China.","/pubmed/24896257","Liang H, Chen J, Xie J, Sun L, Ji F, He S, Zheng Y, Liang C, Zhang G, Su S, Li S.","PLoS One. 2014;9(6):e98068. doi: 10.1371/journal.pone.0098068.","PLoS One.  2014","PubMed","citation","PMID:24896257 | PMCID:PMC4045666","pubmed","24896257","create date:2014/06/05 | first author:Liang H",
"The zoonotic risk of Ancylostoma ceylanicum isolated from stray dogs and cats in Guangzhou, South China.","/pubmed/24877068","Liu Y, Zheng G, Alsarakibi M, Zhang X, Hu W, Lin L, Tan L, Luo Q, Lu P, Li G.","Biomed Res Int. 2014;2014:208759. doi: 10.1155/2014/208759. Epub 2014 May 4.","Biomed Res Int.  2014","PubMed","citation","PMID:24877068 | PMCID:PMC4024403","pubmed","24877068","create date:2014/05/31 | first author:Liu Y",
"USE OF THE T2*-WEIGHTED GRADIENT RECALLED ECHO SEQUENCE FOR MAGNETIC RESONANCE IMAGING OF THE CANINE AND FELINE BRAIN.","/pubmed/24833062","Hodshon AW, Hecht S, Thomas WB.","Vet Radiol Ultrasound. 2014 May 16. doi: 10.1111/vru.12164. [Epub ahead of print]","Vet Radiol Ultrasound.  2014","PubMed","citation","PMID:24833062","pubmed","24833062","create date:2014/05/17 | first author:Hodshon AW",
